Date_ID,Full_Date,Day,Month,Month_Number,Quarter,Year
20240216,2024-02-16,16,Feb,2,Q1,2024
20240217,2024-02-17,17,Feb,2,Q1,2024
20240218,2024-02-18,18,Feb,2,Q1,2024
20240219,2024-02-19,19,Feb,2,Q1,2024
20240220,2024-02-20,20,Feb,2,Q1,2024
20240221,2024-02-21,21,Feb,2,Q1,2024
20240222,2024-02-22,22,Feb,2,Q1,2024
20240223,2024-02-23,23,Feb,2,Q1,2024
20240224,2024-02-24,24,Feb,2,Q1,2024
20240225,2024-02-25,25,Feb,2,Q1,2024
20240226,2024-02-26,26,Feb,2,Q1,2024
20240227,2024-02-27,27,Feb,2,Q1,2024
20240228,2024-02-28,28,Feb,2,Q1,2024
20240229,2024-02-29,29,Feb,2,Q1,2024
20240301,2024-03-01,1,Mar,3,Q1,2024
20240302,2024-03-02,2,Mar,3,Q1,2024
20240303,2024-03-03,3,Mar,3,Q1,2024
20240304,2024-03-04,4,Mar,3,Q1,2024
20240305,2024-03-05,5,Mar,3,Q1,2024
20240306,2024-03-06,6,Mar,3,Q1,2024
20240307,2024-03-07,7,Mar,3,Q1,2024
20240308,2024-03-08,8,Mar,3,Q1,2024
20240309,2024-03-09,9,Mar,3,Q1,2024
20240310,2024-03-10,10,Mar,3,Q1,2024
20240311,2024-03-11,11,Mar,3,Q1,2024
20240312,2024-03-12,12,Mar,3,Q1,2024
20240313,2024-03-13,13,Mar,3,Q1,2024
20240314,2024-03-14,14,Mar,3,Q1,2024
20240315,2024-03-15,15,Mar,3,Q1,2024
20240316,2024-03-16,16,Mar,3,Q1,2024
20240317,2024-03-17,17,Mar,3,Q1,2024
20240318,2024-03-18,18,Mar,3,Q1,2024
20240319,2024-03-19,19,Mar,3,Q1,2024
20240320,2024-03-20,20,Mar,3,Q1,2024
20240321,2024-03-21,21,Mar,3,Q1,2024
20240322,2024-03-22,22,Mar,3,Q1,2024
20240323,2024-03-23,23,Mar,3,Q1,2024
20240324,2024-03-24,24,Mar,3,Q1,2024
20240325,2024-03-25,25,Mar,3,Q1,2024
20240326,2024-03-26,26,Mar,3,Q1,2024
20240327,2024-03-27,27,Mar,3,Q1,2024
20240328,2024-03-28,28,Mar,3,Q1,2024
20240329,2024-03-29,29,Mar,3,Q1,2024
20240330,2024-03-30,30,Mar,3,Q1,2024
20240331,2024-03-31,31,Mar,3,Q1,2024
20240401,2024-04-01,1,Apr,4,Q2,2024
20240402,2024-04-02,2,Apr,4,Q2,2024
20240403,2024-04-03,3,Apr,4,Q2,2024
20240404,2024-04-04,4,Apr,4,Q2,2024
20240405,2024-04-05,5,Apr,4,Q2,2024
20240406,2024-04-06,6,Apr,4,Q2,2024
20240407,2024-04-07,7,Apr,4,Q2,2024
20240408,2024-04-08,8,Apr,4,Q2,2024
20240409,2024-04-09,9,Apr,4,Q2,2024
20240410,2024-04-10,10,Apr,4,Q2,2024
20240411,2024-04-11,11,Apr,4,Q2,2024
20240412,2024-04-12,12,Apr,4,Q2,2024
20240413,2024-04-13,13,Apr,4,Q2,2024
20240414,2024-04-14,14,Apr,4,Q2,2024
20240415,2024-04-15,15,Apr,4,Q2,2024
20240416,2024-04-16,16,Apr,4,Q2,2024
20240417,2024-04-17,17,Apr,4,Q2,2024
20240418,2024-04-18,18,Apr,4,Q2,2024
20240419,2024-04-19,19,Apr,4,Q2,2024
20240420,2024-04-20,20,Apr,4,Q2,2024
20240421,2024-04-21,21,Apr,4,Q2,2024
20240422,2024-04-22,22,Apr,4,Q2,2024
20240423,2024-04-23,23,Apr,4,Q2,2024
20240424,2024-04-24,24,Apr,4,Q2,2024
20240425,2024-04-25,25,Apr,4,Q2,2024
20240426,2024-04-26,26,Apr,4,Q2,2024
20240427,2024-04-27,27,Apr,4,Q2,2024
20240428,2024-04-28,28,Apr,4,Q2,2024
20240429,2024-04-29,29,Apr,4,Q2,2024
20240430,2024-04-30,30,Apr,4,Q2,2024
20240501,2024-05-01,1,May,5,Q2,2024
20240502,2024-05-02,2,May,5,Q2,2024
20240503,2024-05-03,3,May,5,Q2,2024
20240504,2024-05-04,4,May,5,Q2,2024
20240505,2024-05-05,5,May,5,Q2,2024
20240506,2024-05-06,6,May,5,Q2,2024
20240507,2024-05-07,7,May,5,Q2,2024
20240508,2024-05-08,8,May,5,Q2,2024
20240509,2024-05-09,9,May,5,Q2,2024
20240510,2024-05-10,10,May,5,Q2,2024
20240511,2024-05-11,11,May,5,Q2,2024
20240512,2024-05-12,12,May,5,Q2,2024
20240513,2024-05-13,13,May,5,Q2,2024
20240514,2024-05-14,14,May,5,Q2,2024
20240515,2024-05-15,15,May,5,Q2,2024
20240516,2024-05-16,16,May,5,Q2,2024
20240517,2024-05-17,17,May,5,Q2,2024
20240518,2024-05-18,18,May,5,Q2,2024
20240519,2024-05-19,19,May,5,Q2,2024
20240520,2024-05-20,20,May,5,Q2,2024
20240521,2024-05-21,21,May,5,Q2,2024
20240522,2024-05-22,22,May,5,Q2,2024
20240523,2024-05-23,23,May,5,Q2,2024
20240524,2024-05-24,24,May,5,Q2,2024
20240525,2024-05-25,25,May,5,Q2,2024
20240526,2024-05-26,26,May,5,Q2,2024
20240527,2024-05-27,27,May,5,Q2,2024
20240528,2024-05-28,28,May,5,Q2,2024
20240529,2024-05-29,29,May,5,Q2,2024
20240530,2024-05-30,30,May,5,Q2,2024
20240531,2024-05-31,31,May,5,Q2,2024
20240601,2024-06-01,1,Jun,6,Q2,2024
20240602,2024-06-02,2,Jun,6,Q2,2024
20240603,2024-06-03,3,Jun,6,Q2,2024
20240604,2024-06-04,4,Jun,6,Q2,2024
20240605,2024-06-05,5,Jun,6,Q2,2024
20240606,2024-06-06,6,Jun,6,Q2,2024
20240607,2024-06-07,7,Jun,6,Q2,2024
20240608,2024-06-08,8,Jun,6,Q2,2024
20240609,2024-06-09,9,Jun,6,Q2,2024
20240610,2024-06-10,10,Jun,6,Q2,2024
20240611,2024-06-11,11,Jun,6,Q2,2024
20240612,2024-06-12,12,Jun,6,Q2,2024
20240613,2024-06-13,13,Jun,6,Q2,2024
20240614,2024-06-14,14,Jun,6,Q2,2024
20240615,2024-06-15,15,Jun,6,Q2,2024
20240616,2024-06-16,16,Jun,6,Q2,2024
20240617,2024-06-17,17,Jun,6,Q2,2024
20240618,2024-06-18,18,Jun,6,Q2,2024
20240619,2024-06-19,19,Jun,6,Q2,2024
20240620,2024-06-20,20,Jun,6,Q2,2024
20240621,2024-06-21,21,Jun,6,Q2,2024
20240622,2024-06-22,22,Jun,6,Q2,2024
20240623,2024-06-23,23,Jun,6,Q2,2024
20240624,2024-06-24,24,Jun,6,Q2,2024
20240625,2024-06-25,25,Jun,6,Q2,2024
20240626,2024-06-26,26,Jun,6,Q2,2024
20240627,2024-06-27,27,Jun,6,Q2,2024
20240628,2024-06-28,28,Jun,6,Q2,2024
20240629,2024-06-29,29,Jun,6,Q2,2024
20240630,2024-06-30,30,Jun,6,Q2,2024
20240701,2024-07-01,1,Jul,7,Q3,2024
20240702,2024-07-02,2,Jul,7,Q3,2024
20240703,2024-07-03,3,Jul,7,Q3,2024
20240704,2024-07-04,4,Jul,7,Q3,2024
20240705,2024-07-05,5,Jul,7,Q3,2024
20240706,2024-07-06,6,Jul,7,Q3,2024
20240707,2024-07-07,7,Jul,7,Q3,2024
20240708,2024-07-08,8,Jul,7,Q3,2024
20240709,2024-07-09,9,Jul,7,Q3,2024
20240710,2024-07-10,10,Jul,7,Q3,2024
20240711,2024-07-11,11,Jul,7,Q3,2024
20240712,2024-07-12,12,Jul,7,Q3,2024
20240713,2024-07-13,13,Jul,7,Q3,2024
20240714,2024-07-14,14,Jul,7,Q3,2024
20240715,2024-07-15,15,Jul,7,Q3,2024
20240716,2024-07-16,16,Jul,7,Q3,2024
20240717,2024-07-17,17,Jul,7,Q3,2024
20240718,2024-07-18,18,Jul,7,Q3,2024
20240719,2024-07-19,19,Jul,7,Q3,2024
20240720,2024-07-20,20,Jul,7,Q3,2024
20240721,2024-07-21,21,Jul,7,Q3,2024
20240722,2024-07-22,22,Jul,7,Q3,2024
20240723,2024-07-23,23,Jul,7,Q3,2024
20240724,2024-07-24,24,Jul,7,Q3,2024
20240725,2024-07-25,25,Jul,7,Q3,2024
20240726,2024-07-26,26,Jul,7,Q3,2024
20240727,2024-07-27,27,Jul,7,Q3,2024
20240728,2024-07-28,28,Jul,7,Q3,2024
20240729,2024-07-29,29,Jul,7,Q3,2024
20240730,2024-07-30,30,Jul,7,Q3,2024
20240731,2024-07-31,31,Jul,7,Q3,2024
20240801,2024-08-01,1,Aug,8,Q3,2024
20240802,2024-08-02,2,Aug,8,Q3,2024
20240803,2024-08-03,3,Aug,8,Q3,2024
20240804,2024-08-04,4,Aug,8,Q3,2024
20240805,2024-08-05,5,Aug,8,Q3,2024
20240806,2024-08-06,6,Aug,8,Q3,2024
20240807,2024-08-07,7,Aug,8,Q3,2024
20240808,2024-08-08,8,Aug,8,Q3,2024
20240809,2024-08-09,9,Aug,8,Q3,2024
20240810,2024-08-10,10,Aug,8,Q3,2024
20240811,2024-08-11,11,Aug,8,Q3,2024
20240812,2024-08-12,12,Aug,8,Q3,2024
20240813,2024-08-13,13,Aug,8,Q3,2024
20240814,2024-08-14,14,Aug,8,Q3,2024
20240815,2024-08-15,15,Aug,8,Q3,2024
20240816,2024-08-16,16,Aug,8,Q3,2024
20240817,2024-08-17,17,Aug,8,Q3,2024
20240818,2024-08-18,18,Aug,8,Q3,2024
20240819,2024-08-19,19,Aug,8,Q3,2024
20240820,2024-08-20,20,Aug,8,Q3,2024
20240821,2024-08-21,21,Aug,8,Q3,2024
20240822,2024-08-22,22,Aug,8,Q3,2024
20240823,2024-08-23,23,Aug,8,Q3,2024
20240824,2024-08-24,24,Aug,8,Q3,2024
20240825,2024-08-25,25,Aug,8,Q3,2024
20240826,2024-08-26,26,Aug,8,Q3,2024
20240827,2024-08-27,27,Aug,8,Q3,2024
20240828,2024-08-28,28,Aug,8,Q3,2024
20240829,2024-08-29,29,Aug,8,Q3,2024
20240830,2024-08-30,30,Aug,8,Q3,2024
20240831,2024-08-31,31,Aug,8,Q3,2024
20240901,2024-09-01,1,Sep,9,Q3,2024
20240902,2024-09-02,2,Sep,9,Q3,2024
20240903,2024-09-03,3,Sep,9,Q3,2024
20240904,2024-09-04,4,Sep,9,Q3,2024
20240905,2024-09-05,5,Sep,9,Q3,2024
20240906,2024-09-06,6,Sep,9,Q3,2024
20240907,2024-09-07,7,Sep,9,Q3,2024
20240908,2024-09-08,8,Sep,9,Q3,2024
20240909,2024-09-09,9,Sep,9,Q3,2024
20240910,2024-09-10,10,Sep,9,Q3,2024
20240911,2024-09-11,11,Sep,9,Q3,2024
20240912,2024-09-12,12,Sep,9,Q3,2024
20240913,2024-09-13,13,Sep,9,Q3,2024
20240914,2024-09-14,14,Sep,9,Q3,2024
20240915,2024-09-15,15,Sep,9,Q3,2024
20240916,2024-09-16,16,Sep,9,Q3,2024
20240917,2024-09-17,17,Sep,9,Q3,2024
20240918,2024-09-18,18,Sep,9,Q3,2024
20240919,2024-09-19,19,Sep,9,Q3,2024
20240920,2024-09-20,20,Sep,9,Q3,2024
20240921,2024-09-21,21,Sep,9,Q3,2024
20240922,2024-09-22,22,Sep,9,Q3,2024
20240923,2024-09-23,23,Sep,9,Q3,2024
20240924,2024-09-24,24,Sep,9,Q3,2024
20240925,2024-09-25,25,Sep,9,Q3,2024
20240926,2024-09-26,26,Sep,9,Q3,2024
20240927,2024-09-27,27,Sep,9,Q3,2024
20240928,2024-09-28,28,Sep,9,Q3,2024
20240929,2024-09-29,29,Sep,9,Q3,2024
20240930,2024-09-30,30,Sep,9,Q3,2024
20241001,2024-10-01,1,Oct,10,Q4,2024
20241002,2024-10-02,2,Oct,10,Q4,2024
20241003,2024-10-03,3,Oct,10,Q4,2024
20241004,2024-10-04,4,Oct,10,Q4,2024
20241005,2024-10-05,5,Oct,10,Q4,2024
20241006,2024-10-06,6,Oct,10,Q4,2024
20241007,2024-10-07,7,Oct,10,Q4,2024
20241008,2024-10-08,8,Oct,10,Q4,2024
20241009,2024-10-09,9,Oct,10,Q4,2024
20241010,2024-10-10,10,Oct,10,Q4,2024
20241011,2024-10-11,11,Oct,10,Q4,2024
20241012,2024-10-12,12,Oct,10,Q4,2024
20241013,2024-10-13,13,Oct,10,Q4,2024
20241014,2024-10-14,14,Oct,10,Q4,2024
20241015,2024-10-15,15,Oct,10,Q4,2024
20241016,2024-10-16,16,Oct,10,Q4,2024
20241017,2024-10-17,17,Oct,10,Q4,2024
20241018,2024-10-18,18,Oct,10,Q4,2024
20241019,2024-10-19,19,Oct,10,Q4,2024
20241020,2024-10-20,20,Oct,10,Q4,2024
20241021,2024-10-21,21,Oct,10,Q4,2024
20241022,2024-10-22,22,Oct,10,Q4,2024
20241023,2024-10-23,23,Oct,10,Q4,2024
20241024,2024-10-24,24,Oct,10,Q4,2024
20241025,2024-10-25,25,Oct,10,Q4,2024
20241026,2024-10-26,26,Oct,10,Q4,2024
20241027,2024-10-27,27,Oct,10,Q4,2024
20241028,2024-10-28,28,Oct,10,Q4,2024
20241029,2024-10-29,29,Oct,10,Q4,2024
20241030,2024-10-30,30,Oct,10,Q4,2024
20241031,2024-10-31,31,Oct,10,Q4,2024
20241101,2024-11-01,1,Nov,11,Q4,2024
20241102,2024-11-02,2,Nov,11,Q4,2024
20241103,2024-11-03,3,Nov,11,Q4,2024
20241104,2024-11-04,4,Nov,11,Q4,2024
20241105,2024-11-05,5,Nov,11,Q4,2024
20241106,2024-11-06,6,Nov,11,Q4,2024
20241107,2024-11-07,7,Nov,11,Q4,2024
20241108,2024-11-08,8,Nov,11,Q4,2024
20241109,2024-11-09,9,Nov,11,Q4,2024
20241110,2024-11-10,10,Nov,11,Q4,2024
20241111,2024-11-11,11,Nov,11,Q4,2024
20241112,2024-11-12,12,Nov,11,Q4,2024
20241113,2024-11-13,13,Nov,11,Q4,2024
20241114,2024-11-14,14,Nov,11,Q4,2024
20241115,2024-11-15,15,Nov,11,Q4,2024
20241116,2024-11-16,16,Nov,11,Q4,2024
20241117,2024-11-17,17,Nov,11,Q4,2024
20241118,2024-11-18,18,Nov,11,Q4,2024
20241119,2024-11-19,19,Nov,11,Q4,2024
20241120,2024-11-20,20,Nov,11,Q4,2024
20241121,2024-11-21,21,Nov,11,Q4,2024
20241122,2024-11-22,22,Nov,11,Q4,2024
20241123,2024-11-23,23,Nov,11,Q4,2024
20241124,2024-11-24,24,Nov,11,Q4,2024
20241125,2024-11-25,25,Nov,11,Q4,2024
20241126,2024-11-26,26,Nov,11,Q4,2024
20241127,2024-11-27,27,Nov,11,Q4,2024
20241128,2024-11-28,28,Nov,11,Q4,2024
20241129,2024-11-29,29,Nov,11,Q4,2024
20241130,2024-11-30,30,Nov,11,Q4,2024
20241201,2024-12-01,1,Dec,12,Q4,2024
20241202,2024-12-02,2,Dec,12,Q4,2024
20241203,2024-12-03,3,Dec,12,Q4,2024
20241204,2024-12-04,4,Dec,12,Q4,2024
20241205,2024-12-05,5,Dec,12,Q4,2024
20241206,2024-12-06,6,Dec,12,Q4,2024
20241207,2024-12-07,7,Dec,12,Q4,2024
20241208,2024-12-08,8,Dec,12,Q4,2024
20241209,2024-12-09,9,Dec,12,Q4,2024
20241210,2024-12-10,10,Dec,12,Q4,2024
20241211,2024-12-11,11,Dec,12,Q4,2024
20241212,2024-12-12,12,Dec,12,Q4,2024
20241213,2024-12-13,13,Dec,12,Q4,2024
20241214,2024-12-14,14,Dec,12,Q4,2024
20241215,2024-12-15,15,Dec,12,Q4,2024
20241216,2024-12-16,16,Dec,12,Q4,2024
20241217,2024-12-17,17,Dec,12,Q4,2024
20241218,2024-12-18,18,Dec,12,Q4,2024
20241219,2024-12-19,19,Dec,12,Q4,2024
20241220,2024-12-20,20,Dec,12,Q4,2024
20241221,2024-12-21,21,Dec,12,Q4,2024
20241222,2024-12-22,22,Dec,12,Q4,2024
20241223,2024-12-23,23,Dec,12,Q4,2024
20241224,2024-12-24,24,Dec,12,Q4,2024
20241225,2024-12-25,25,Dec,12,Q4,2024
20241226,2024-12-26,26,Dec,12,Q4,2024
20241227,2024-12-27,27,Dec,12,Q4,2024
20241228,2024-12-28,28,Dec,12,Q4,2024
20241229,2024-12-29,29,Dec,12,Q4,2024
20241230,2024-12-30,30,Dec,12,Q4,2024
20241231,2024-12-31,31,Dec,12,Q4,2024
